AC,Norte
AL,Nordeste
AM,Norte
AP,Norte
BA,Nordeste
CE,Nordeste
DF,Centro-Oeste
ES,Sudeste
GO,Centro-Oeste
MA,Nordeste
MG,Sudeste
MS,Centro-Oeste
MT,Centro-Oeste
PA,Norte
PB,Nordeste
PE,Nordeste
PI,Nordeste
PR,Sul
RJ,Sudeste
RN,Nordeste
RO,Norte
RR,Norte
RS,Sul
SC,Sul
SE,Nordeste
SP,Sudeste
TO,Norte
