77020006,Quadra ACSU SE 10 Avenida LO 3,,Plano Diretor Sul,6502,27
77020008,Quadra ACSU SE 10 Avenida NS 2,,Plano Diretor Sul,6502,27
77020010,Quadra ACSU SE 10 Avenida LO 1,,Plano Diretor Sul,6502,27
77020012,Quadra ACSE 1 Avenida Juscelino Kubitschek,,Plano Diretor Sul,6502,27
77020014,Quadra ACSE 1 Rua SE 1,,Plano Diretor Sul,6502,27
77020016,Quadra 104 Sul Rua SE 3,,Plano Diretor Sul,6502,27
77020018,Quadra ACSE 1 Rua SE 5,,Plano Diretor Sul,6502,27
77020020,Quadra 104 Sul Avenida LO 1,,Plano Diretor Sul,6502,27
77020022,Quadra 104 Sul Rua SE 7,,Plano Diretor Sul,6502,27
77020024,Quadra 104 Sul Rua SE 9,,Plano Diretor Sul,6502,27
77020026,Quadra 104 Sul Rua SE 11,,Plano Diretor Sul,6502,27
77020028,Quadra 104 Sul Avenida LO 3,,Plano Diretor Sul,6502,27
77020030,Quadra 104 Sul Avenida NS 2,,Plano Diretor Sul,6502,27
77020032,Quadra 104 Sul Avenida NS 4,,Plano Diretor Sul,6502,27
77020034,Quadra 104 Sul Rua SE 2,,Plano Diretor Sul,6502,27
77020036,Quadra 104 Sul Rua SE 4,,Plano Diretor Sul,6502,27
77020038,Quadra 104 Sul Rua SE 6,,Plano Diretor Sul,6502,27
77020040,Quadra ACSV SE 12,,Plano Diretor Sul,6502,27
77020042,Quadra ARSE 12 Avenida NS 6,,Plano Diretor Sul,6502,27
77020046,Quadra ARSE 12 Avenida NS 4,,Plano Diretor Sul,6502,27
77020050,Quadra ARSE 12 Alameda 30,,Plano Diretor Sul,6502,27
77020052,Quadra ARSE 12 Alameda 32,,Plano Diretor Sul,6502,27
77020054,Quadra ARSE 12 Alameda 1,,Plano Diretor Sul,6502,27
77020056,Quadra ARSE 12 Alameda 26,,Plano Diretor Sul,6502,27
77020058,Quadra ARSE 12 Alameda 22,,Plano Diretor Sul,6502,27
77020060,Quadra ARSE 12 Alameda 18,,Plano Diretor Sul,6502,27
77020062,Quadra ARSE 12 Alameda 14,,Plano Diretor Sul,6502,27
77020064,Quadra ARSE 12 Alameda 10,,Plano Diretor Sul,6502,27
77020066,Quadra ARSE 12 Alameda 6,,Plano Diretor Sul,6502,27
77020068,Quadra ARSE 12 Alameda 2,,Plano Diretor Sul,6502,27
77020070,Quadra ARSE 12 Alameda 37,,Plano Diretor Sul,6502,27
77020072,Quadra ARSE 12 Alameda 4,,Plano Diretor Sul,6502,27
77020074,Quadra ARSE 12 Alameda 3,,Plano Diretor Sul,6502,27
77020076,Quadra ARSE 12 Alameda 8,,Plano Diretor Sul,6502,27
77020078,Quadra ARSE 12 Alameda 12,,Plano Diretor Sul,6502,27
77020080,Quadra ARSE 12 Alameda 33,,Plano Diretor Sul,6502,27
77020082,Quadra ARSE 12 Alameda 34,,Plano Diretor Sul,6502,27
77020084,Quadra ARSE 12 Alameda 16,,Plano Diretor Sul,6502,27
77020086,Quadra ARSE 12 Alameda 20,,Plano Diretor Sul,6502,27
77020088,Quadra ARSE 12 Alameda 24,,Plano Diretor Sul,6502,27
77020090,Quadra ARSE 12 Alameda 28,,Plano Diretor Sul,6502,27
77020092,Quadra ARSE 12 Alameda 36,,Plano Diretor Sul,6502,27
77020094,Quadra ARSE 13 Avenida Juscelino Kubitschek,,Plano Diretor Sul,6502,27
77020096,Quadra ARSE 13 Avenida NS 6,,Plano Diretor Sul,6502,27
77020098,Quadra ACSV SE 13,,Plano Diretor Sul,6502,27
77020100,Quadra ARSE 13 Avenida NS 8,,Plano Diretor Sul,6502,27
77020103,Quadra ARSE 13 Alameda 5,,Plano Diretor Sul,6502,27
77020104,Quadra ARSE 13 Alameda 4,,Plano Diretor Sul,6502,27
77020105,Quadra ARSE 13 Alameda 3,,Plano Diretor Sul,6502,27
77020106,Quadra ARSE 13 Alameda 6,,Plano Diretor Sul,6502,27
77020107,Quadra ARSE 13 Alameda 7,,Plano Diretor Sul,6502,27
77020108,Quadra ARSE 13 Alameda 8,,Plano Diretor Sul,6502,27
77020110,Quadra ARSE 13 Alameda 1,,Plano Diretor Sul,6502,27
77020112,Quadra ARSE 13 Alameda 10,,Plano Diretor Sul,6502,27
77020114,Quadra ARSE 13 Alameda 12,,Plano Diretor Sul,6502,27
77020116,Quadra ARSE 13 Alameda 13,,Plano Diretor Sul,6502,27
77020118,Quadra ARSE 13 Alameda 14,,Plano Diretor Sul,6502,27
77020120,Quadra ARSE 13 Alameda 9,,Plano Diretor Sul,6502,27
77020122,Quadra ARSE 13 Alameda 11,,Plano Diretor Sul,6502,27
77020124,Quadra ACSV SE 14,,Plano Diretor Sul,6502,27
77020126,Quadra ARSE 14 Avenida NS 8,,Plano Diretor Sul,6502,27
77020128,Quadra ARSE 14 Avenida LO 3,,Plano Diretor Sul,6502,27
77020130,Quadra ARSE 14 Avenida NS 10,,Plano Diretor Sul,6502,27
77020132,Quadra ARSE 14 Alameda 11,,Plano Diretor Sul,6502,27
77020134,Quadra ARSE 14 Alameda 6,,Plano Diretor Sul,6502,27
77020136,Quadra ARSE 14 Alameda 7,,Plano Diretor Sul,6502,27
77020138,Quadra ARSE 14 Alameda 5,,Plano Diretor Sul,6502,27
77020140,Quadra ARSE 14 Alameda 3,,Plano Diretor Sul,6502,27
77020142,Quadra ARSE 14 Alameda 1,,Plano Diretor Sul,6502,27
77020143,Quadra ARSE 14 Alameda 4,,Plano Diretor Sul,6502,27
77020146,Quadra ARSE 14 Alameda 8,,Plano Diretor Sul,6502,27
77020148,Quadra ARSE 14 Alameda 9,,Plano Diretor Sul,6502,27
