45826009,Rua Vasco da Gama,,Moisés Reis,3280,5
45826011,Rua Águas Claras,,Moisés Reis,3280,5
45826013,Rua Santa Catarina,,Moisés Reis,3280,5
45826015,Rua Marquês de Tamandaré,,Moisés Reis,3280,5
45826017,Rua Hilário Roldi,,Moisés Reis,3280,5
45826019,Rua do Pinheiro,,Moisés Reis,3280,5
45826021,Rua Paraíso,,Moisés Reis,3280,5
45826023,Travessa Marquês de Tamandaré,,Moisés Reis,3280,5
45826025,Avenida Domingos Reis,,Moisés Reis,3280,5
45826027,Rua Pardal,,Moisés Reis,3280,5
45826029,Ladeira do Paturi,,Moisés Reis,3280,5
45826031,Rua Filadélfio Reis,,Moisés Reis,3280,5
45826033,Rua Flamingo,,Moisés Reis,3280,5
45826035,Rua João de Barro,,Moisés Reis,3280,5
45826037,Praça do Trabalhador,,Moisés Reis,3280,5
45826039,Travessa da Codorna,,Moisés Reis,3280,5
45826041,Travessa Tucano,,Moisés Reis,3280,5
45826043,Rua Andorinha,,Moisés Reis,3280,5
45826045,Rua Augusto Gomes,,Moisés Reis,3280,5
45826047,Rua das Graças,,Moisés Reis,3280,5
45826049,Travessa Perdizes,,Moisés Reis,3280,5
45826051,Rua da Integração,,Moisés Reis,3280,5
45826053,1ª Travessa Domingos Reis,,Moisés Reis,3280,5
45826055,2ª Travessa Domingos Reis,,Moisés Reis,3280,5
45826057,3ª Travessa Domingos Reis,,Moisés Reis,3280,5
45826059,Rua da Linha,,Moisés Reis,3280,5
45826061,Rua Nossa Senhora Aparecida,,Moisés Reis,3280,5
45826063,1ª Travessa Periférica,,Moisés Reis,3280,5
45826065,2ª Travessa Periférica,,Moisés Reis,3280,5
45826067,3ª Travessa Periférica,,Moisés Reis,3280,5
45826069,Avenida Periférica,,Moisés Reis,3280,5
45826071,Beco do Beija-flor,,Moisés Reis,3280,5
45826073,Travessa do Curió,,Moisés Reis,3280,5
45826075,2ª Travessa Aparecida,,Moisés Reis,3280,5
45826077,Rua Ayrton Senna,,Moisés Reis,3280,5
45826079,Rua Aparecida,,Moisés Reis,3280,5
45826081,Rua do Lago,,Moisés Reis,3280,5
45826083,Caminho da Fonte,,Moisés Reis,3280,5
45826085,Rua Tailândia,,Moisés Reis,3280,5
45826087,Rua do Sol,,Moisés Reis,3280,5
45826089,Rua do Vento,,Moisés Reis,3280,5
45826091,Rua da Chácara,,Moisés Reis,3280,5
45826093,Rua da Lua,,Moisés Reis,3280,5
45826170,Rua da Fazenda,,Arivaldo Reis,3280,5
45826172,Avenida do Trabalho,,Arivaldo Reis,3280,5
45826174,Rua Gasogênio,- de 220/221 ao fim,Arivaldo Reis,3280,5
45826176,Rua do Dínamo,- de 200/201 ao fim,Arivaldo Reis,3280,5
45826178,Rua do Torno,- de 70/71 ao fim,Arivaldo Reis,3280,5
45826180,Rua da Engrenagem,- de 300/301 ao fim,Arivaldo Reis,3280,5
45826182,Rua do Fole,- de 330/331 ao fim,Arivaldo Reis,3280,5
45826184,Rua Ariane Reis,,Arivaldo Reis,3280,5
45826186,Rua da Alavanca,- de 140/141 ao fim,Arivaldo Reis,3280,5
45826188,Rua Diolinda Reis,,Arivaldo Reis,3280,5
45826190,Rua do Contorno,- de 100/101 ao fim,Arivaldo Reis,3280,5
45826192,Rua do Trilho,,Arivaldo Reis,3280,5
45826194,Rua Amélia Reis,,Arivaldo Reis,3280,5
45826196,Rua da Polia,- de 100/101 ao fim,Arivaldo Reis,3280,5
45826200,Rua do Feriado,,Arivaldo Reis,3280,5
45826204,Avenida Alcides Lacerda,,Arivaldo Reis,3280,5
45826206,Rua Ana Carolina Reis,,Arivaldo Reis,3280,5
45826208,Rua Carine Reis,,Arivaldo Reis,3280,5
45826210,Rua Daiane Reis,,Arivaldo Reis,3280,5
45826212,Travessa Alecrim,,Arivaldo Reis,3280,5
45826214,Rua Estela Messias Reis,,Arivaldo Reis,3280,5
45826216,Rua do Contorno,- até 98/99,Arivaldo Reis,3280,5
45826218,Rua Júlia Reis,,Arivaldo Reis,3280,5
45826220,Rua Bruna Reis,,Arivaldo Reis,3280,5
45826222,Rua Lorena Reis,,Arivaldo Reis,3280,5
45826224,Rua Míriam Reis,,Arivaldo Reis,3280,5
45826226,Rua Raquel Machado Reis,- lado ímpar,Arivaldo Reis,3280,5
45826228,Rua 8,,Arivaldo Reis,3280,5
45826240,Avenida Príncipe da Paz,- lado par,Arivaldo Reis,3280,5
45826286,Rua Aleluia,,Arivaldo Reis,3280,5
45826300,Avenida Príncipe da Paz,- lado ímpar,Vila Olímpica,3280,5
45826302,Rua 8,,Vila Olímpica,3280,5
45826304,Rua Raquel Machado Reis,- lado par,Vila Olímpica,3280,5
45826306,Rua 7,,Vila Olímpica,3280,5
45826308,Rua 6,,Vila Olímpica,3280,5
45826310,Rua Principal,,Vila Olímpica,3280,5
45826312,Rua 5,,Vila Olímpica,3280,5
45826314,Rua 4,,Vila Olímpica,3280,5
45826316,Rua 3,,Vila Olímpica,3280,5
45826318,Rua 2,,Vila Olímpica,3280,5
45826320,Rua 1,,Vila Olímpica,3280,5
45826322,Avenida Alcides Lacerda,,Vila Olímpica,3280,5
45826330,Rua Aleluia,,Thiago de Mello,3280,5
45826332,Caminho 1,,Thiago de Mello,3280,5
45826334,Caminho 2,,Thiago de Mello,3280,5
45826336,Caminho 3,,Thiago de Mello,3280,5
45826338,Caminho 4,,Thiago de Mello,3280,5
45826340,Caminho 5,,Thiago de Mello,3280,5
45826342,Caminho 6,,Thiago de Mello,3280,5
45826344,Caminho 7,,Thiago de Mello,3280,5
45826346,Caminho 8,,Thiago de Mello,3280,5
45826348,Caminho 9,,Thiago de Mello,3280,5
45826350,Rua Campo Belo,,Thiago de Mello,3280,5
45826352,Caminho 10,,Thiago de Mello,3280,5
45826354,Caminho 11,,Thiago de Mello,3280,5
45826356,Caminho 12,,Thiago de Mello,3280,5
45826358,Caminho 13,,Thiago de Mello,3280,5
45826360,Caminho 14,,Thiago de Mello,3280,5
45826362,Caminho 15,,Thiago de Mello,3280,5
45826364,Caminho 16,,Thiago de Mello,3280,5
45826366,Avenida Alcides Lacerda,,Thiago de Mello,3280,5
45826368,Avenida Paulo Afonso,,Thiago de Mello,3280,5
45826370,Avenida Beija-flor,,Thiago de Mello,3280,5
45826372,Caminho 25,,Thiago de Mello,3280,5
45826374,Avenida Ronaldo Santana,,Thiago de Mello,3280,5
45826376,Caminho 26,,Thiago de Mello,3280,5
45826378,Caminho 27,,Thiago de Mello,3280,5
45826380,Caminho 28,,Thiago de Mello,3280,5
45826382,Caminho 29,,Thiago de Mello,3280,5
45826384,Caminho 24,,Thiago de Mello,3280,5
45826386,Caminho 30,,Thiago de Mello,3280,5
45826388,Caminho 31,,Thiago de Mello,3280,5
45826390,Caminho 32,,Thiago de Mello,3280,5
45826392,Caminho 33,,Thiago de Mello,3280,5
45826394,Caminho 34,,Thiago de Mello,3280,5
45826396,Rua São Francisco,,Thiago de Mello,3280,5
45826398,Caminho 37,,Thiago de Mello,3280,5
45826400,Caminho 38,,Thiago de Mello,3280,5
45826402,Caminho 39,,Thiago de Mello,3280,5
45826404,Caminho 40,,Thiago de Mello,3280,5
45826406,Caminho 41,,Thiago de Mello,3280,5
45826408,Caminho 63,,Thiago de Mello,3280,5
45826410,Caminho 64,,Thiago de Mello,3280,5
45826412,Caminho 65,,Thiago de Mello,3280,5
45826414,Caminho 66,,Thiago de Mello,3280,5
45826416,Rua Aracuã,,Thiago de Mello,3280,5
45826418,Caminho 67,,Thiago de Mello,3280,5
45826420,Caminho 68,,Thiago de Mello,3280,5
45826422,Caminho 69,,Thiago de Mello,3280,5
45826424,Caminho 70,,Thiago de Mello,3280,5
45826426,Avenida Viana Gomes,,Thiago de Mello,3280,5
45826428,Rua do Conde,,Thiago de Mello,3280,5
45826430,Caminho 42,,Thiago de Mello,3280,5
45826432,Caminho 43,,Thiago de Mello,3280,5
45826434,Caminho 44,,Thiago de Mello,3280,5
45826436,Caminho 51,,Thiago de Mello,3280,5
45826438,Caminho 45,,Thiago de Mello,3280,5
45826440,Caminho 53,,Thiago de Mello,3280,5
45826442,Caminho 55,,Thiago de Mello,3280,5
45826444,Caminho 56,,Thiago de Mello,3280,5
45826446,Caminho 57,,Thiago de Mello,3280,5
45826448,Caminho 58,,Thiago de Mello,3280,5
45826450,Caminho 61,,Thiago de Mello,3280,5
45826452,Rua Tucano,,Thiago de Mello,3280,5
45826454,Caminho 62,,Thiago de Mello,3280,5
45826456,Caminho 59,,Thiago de Mello,3280,5
45826458,Caminho 60,,Thiago de Mello,3280,5
45826460,Caminho 54,,Thiago de Mello,3280,5
45826462,Caminho 52,,Thiago de Mello,3280,5
45826464,Caminho 50,,Thiago de Mello,3280,5
45826466,Caminho 49,,Thiago de Mello,3280,5
45826468,Caminho 47,,Thiago de Mello,3280,5
45826470,Caminho 46,,Thiago de Mello,3280,5
45826472,Rua Sabiá,,Thiago de Mello,3280,5
45826474,Rua Gerônimo Matos,,Thiago de Mello,3280,5
45826476,Rua das Garças,,Thiago de Mello,3280,5
45826478,Caminho 35,,Thiago de Mello,3280,5
45826480,Rua Planalto,,Thiago de Mello,3280,5
45826482,Caminho 36,,Thiago de Mello,3280,5
45826484,Caminho 19,,Thiago de Mello,3280,5
45826486,Caminho 23,,Thiago de Mello,3280,5
45826488,Caminho 22,,Thiago de Mello,3280,5
45826490,Caminho 21,,Thiago de Mello,3280,5
45826492,Caminho 20,,Thiago de Mello,3280,5
45826494,Rua Campo Alto,,Thiago de Mello,3280,5
45826496,Caminho 17,,Thiago de Mello,3280,5
45826498,Caminho 18,,Thiago de Mello,3280,5
45826780,Avenida Alcides Lacerda,,Arnaldo Moura,3280,5
45826782,Rua A,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826784,Rua B,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826786,Avenida do Contorno,,Arnaldo Moura,3280,5
45826788,Rua C,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826790,Rua D,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826792,Rua E,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826794,Rua F,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826796,Rua G,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826798,Rua H,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826800,Rua I,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826802,Rua J,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826804,Rua K,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826806,Rua L,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826808,Rua M,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826810,Rua N,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826812,Rua O,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826814,Rua P,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826816,Avenida Central,,Arnaldo Moura,3280,5
45826818,Rua R,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826820,Rua S,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826822,Rua T,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826824,Rua Q,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826826,Rua W,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826828,Rua U,(Res Arnaldo Moura),Arnaldo Moura,3280,5
45826850,Avenida Brasília,,Nacional,3280,5
45826854,Rua H,,Nacional,3280,5
45826858,Rua AIO,,Nacional,3280,5
45826862,Rua BJP,,Nacional,3280,5
45826866,Rua CKQ,,Nacional,3280,5
45826870,Rua DIR,,Nacional,3280,5
45826874,Rua EMS,,Nacional,3280,5
45826878,Rua FN,,Nacional,3280,5
45826882,Rua G,,Nacional,3280,5
45826886,Rua da Lagoa,,Nacional,3280,5
45826890,Rua S,,Nacional,3280,5
45826894,Rua SP,,Nacional,3280,5
45828000,Avenida Luís Eduardo Magalhães,,Pequi,3280,5
45828003,Rua Tupiniquins,- até 704/705,Pequi,3280,5
45828006,Rua Ana Nery,,Pequi,3280,5
45828009,Praça do Pequi,,Pequi,3280,5
45828012,Travessa do Pequi,,Pequi,3280,5
45828015,Rua Bela Vista,- até 569/570,Pequi,3280,5
45828018,Rua Estácio de Sá,,Pequi,3280,5
45828021,Travessa Bela Vista,,Pequi,3280,5
45828024,Rua Teixeira de Freitas,,Pequi,3280,5
45828027,Rua da Paz,,Pequi,3280,5
45828030,Travessa Malvinas,,Pequi,3280,5
45828036,Rua Paraíba,,Pequi,3280,5
45828039,Rua Jocelina Gomes,- de 317/318 ao fim,Pequi,3280,5
45828042,Rua Jocelina Gomes,- até 315/316,Pequi,3280,5
45828045,Rua Santos Dumont,,Pequi,3280,5
45828048,Rua Princesa Isabel,- até 523/524,Pequi,3280,5
45828051,Rua João Baptista Figueiredo,,Pequi,3280,5
45828054,Avenida Alcides Gobira Lacerda,,Pequi,3280,5
45828057,Avenida Antônio Carlos Magalhães,,Pequi,3280,5
45828060,Travessa Brilhante,,Pequi,3280,5
45828063,Alameda das Esmeraldas,,Pequi,3280,5
